reading_id,old_reading_cycle_id,new_reading_cycle_id,reading_date,old_exception_type,new_exception_type
728,1,,2020-07-27T00:00:00.000Z,NONE,STALE_READING
4493,1,,2020-08-29T00:00:00.000Z,NONE,STALE_READING
4935,1,,2020-09-26T00:00:00.000Z,NONE,STALE_READING
452,1,,2020-09-27T00:00:00.000Z,NONE,STALE_READING
1103,1,,2020-09-29T00:00:00.000Z,NONE,STALE_READING
515,1,,2020-10-28T00:00:00.000Z,NONE,STALE_READING
997,1,,2020-12-06T00:00:00.000Z,NONE,STALE_READING
1592,1,,2020-12-29T00:00:00.000Z,NONE,STALE_READING
738,1,,2020-12-31T00:00:00.000Z,NONE,STALE_READING
5204,1,,2021-01-25T00:00:00.000Z,NONE,STALE_READING
5918,1,,2021-02-02T00:00:00.000Z,NONE,STALE_READING
3645,1,,2021-02-26T00:00:00.000Z,NONE,STALE_READING
3170,1,,2021-03-01T00:00:00.000Z,NONE,STALE_READING
6017,1,,2021-03-17T00:00:00.000Z,NONE,STALE_READING
307,1,,2021-03-25T00:00:00.000Z,NONE,STALE_READING
4632,1,,2021-03-28T00:00:00.000Z,NONE,STALE_READING
1224,1,,2021-04-10T00:00:00.000Z,NONE,STALE_READING
2202,1,,2021-04-27T00:00:00.000Z,NONE,STALE_READING
4050,1,,2021-05-27T00:00:00.000Z,NONE,STALE_READING
2341,1,,2021-06-09T00:00:00.000Z,NEGATIVE,STALE_READING
603,1,,2021-06-29T00:00:00.000Z,NONE,STALE_READING
837,1,,2021-06-29T00:00:00.000Z,NONE,STALE_READING
2441,1,,2021-06-29T00:00:00.000Z,NONE,STALE_READING
2789,1,,2021-06-29T00:00:00.000Z,NONE,STALE_READING
419,1,,2021-07-27T00:00:00.000Z,NONE,STALE_READING
28,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
40,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
55,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
84,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
100,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
261,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
263,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
276,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
278,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
311,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
318,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
326,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
380,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
397,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
441,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
447,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
584,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
838,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
856,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
868,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
903,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1154,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1188,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1534,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1652,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1790,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1971,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
1986,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2071,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2114,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2472,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2545,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2781,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
2995,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
3144,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
3194,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
3262,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
3300,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
3879,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
4089,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
4118,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
4659,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
4789,1,,2021-07-28T00:00:00.000Z,NONE,STALE_READING
546,1,,2021-08-05T00:00:00.000Z,NONE,STALE_READING
3767,1,,2021-08-13T00:00:00.000Z,NONE,STALE_READING
3127,1,,2021-08-25T00:00:00.000Z,NONE,STALE_READING
4340,1,,2021-08-25T00:00:00.000Z,NONE,STALE_READING
4648,1,,2021-08-25T00:00:00.000Z,NONE,STALE_READING
3819,1,,2021-09-28T00:00:00.000Z,NONE,STALE_READING
1974,1,,2021-10-02T00:00:00.000Z,NONE,STALE_READING
6498,1,,2021-11-04T00:00:00.000Z,NONE,STALE_READING
2408,1,,2021-11-25T00:00:00.000Z,NONE,STALE_READING
511,1,,2021-11-28T00:00:00.000Z,NONE,STALE_READING
2075,1,,2021-12-27T00:00:00.000Z,NONE,STALE_READING
6592,1,,2022-01-02T00:00:00.000Z,NONE,STALE_READING
6771,1,,2022-01-25T00:00:00.000Z,NONE,STALE_READING
4719,1,,2022-01-26T00:00:00.000Z,NONE,STALE_READING
3198,1,,2022-01-29T00:00:00.000Z,NONE,STALE_READING
1075,1,,2022-02-27T00:00:00.000Z,NONE,STALE_READING
1272,1,,2022-02-27T00:00:00.000Z,NONE,STALE_READING
2806,1,,2022-02-27T00:00:00.000Z,NONE,STALE_READING
5813,1,,2022-03-04T00:00:00.000Z,NONE,STALE_READING
7042,1,,2022-03-06T00:00:00.000Z,NONE,STALE_READING
771,1,,2022-03-30T00:00:00.000Z,NEGATIVE,STALE_READING
510,1,,2022-04-25T00:00:00.000Z,NONE,STALE_READING
4631,1,,2022-04-26T00:00:00.000Z,NONE,STALE_READING
2245,1,,2022-04-27T00:00:00.000Z,NONE,STALE_READING
2765,1,,2022-04-27T00:00:00.000Z,NONE,STALE_READING
3449,1,,2022-04-28T00:00:00.000Z,NONE,STALE_READING
939,1,,2022-06-27T00:00:00.000Z,NONE,STALE_READING
1044,1,,2022-06-28T00:00:00.000Z,NONE,STALE_READING
2258,1,,2022-07-24T00:00:00.000Z,NONE,STALE_READING
2345,1,,2022-07-24T00:00:00.000Z,NONE,STALE_READING
1147,1,,2022-07-26T00:00:00.000Z,NONE,STALE_READING
1472,1,,2022-07-26T00:00:00.000Z,NONE,STALE_READING
2444,1,,2022-07-26T00:00:00.000Z,NONE,STALE_READING
3903,1,,2022-07-28T00:00:00.000Z,NONE,STALE_READING
1623,1,,2022-07-29T00:00:00.000Z,NONE,STALE_READING
2113,1,,2022-08-01T00:00:00.000Z,NONE,STALE_READING
7335,1,,2022-08-25T00:00:00.000Z,NONE,STALE_READING
1201,1,,2022-08-28T00:00:00.000Z,NONE,STALE_READING
6275,1,,2022-09-25T00:00:00.000Z,NONE,STALE_READING
2985,1,,2022-09-26T00:00:00.000Z,NONE,STALE_READING
5819,1,,2022-09-26T00:00:00.000Z,NONE,STALE_READING
1341,1,,2022-10-15T00:00:00.000Z,NONE,STALE_READING
4816,1,,2022-10-25T00:00:00.000Z,NONE,STALE_READING
4920,1,,2022-10-25T00:00:00.000Z,NONE,STALE_READING
2156,1,,2022-10-26T00:00:00.000Z,NONE,STALE_READING
2657,1,,2022-10-27T00:00:00.000Z,NONE,STALE_READING
82,1,,2022-11-26T00:00:00.000Z,NONE,STALE_READING
6884,1,,2022-11-26T00:00:00.000Z,NONE,STALE_READING
2385,1,,2022-11-28T00:00:00.000Z,NONE,STALE_READING
3484,1,,2022-11-28T00:00:00.000Z,NONE,STALE_READING
2461,1,,2022-12-13T00:00:00.000Z,NONE,STALE_READING
5384,1,,2022-12-25T00:00:00.000Z,NONE,STALE_READING
502,1,,2022-12-26T00:00:00.000Z,NONE,STALE_READING
2470,1,,2022-12-27T00:00:00.000Z,NONE,STALE_READING
7239,1,,2022-12-28T00:00:00.000Z,NONE,STALE_READING
925,1,,2023-01-24T00:00:00.000Z,NONE,STALE_READING
1116,1,,2023-01-25T00:00:00.000Z,NONE,STALE_READING
1591,1,,2023-01-25T00:00:00.000Z,NONE,STALE_READING
4556,1,,2023-01-27T00:00:00.000Z,NONE,STALE_READING
104,1,,2023-01-28T00:00:00.000Z,NONE,STALE_READING
2310,1,,2023-01-28T00:00:00.000Z,NONE,STALE_READING
2574,1,,2023-01-28T00:00:00.000Z,NONE,STALE_READING
3530,1,,2023-01-28T00:00:00.000Z,NONE,STALE_READING
4120,1,,2023-01-28T00:00:00.000Z,NONE,STALE_READING
4300,1,,2023-01-31T00:00:00.000Z,NONE,STALE_READING
2955,1,,2023-02-11T00:00:00.000Z,NONE,STALE_READING
3056,1,,2023-02-23T00:00:00.000Z,NONE,STALE_READING
1414,1,,2023-02-24T00:00:00.000Z,NONE,STALE_READING
2212,1,,2023-02-24T00:00:00.000Z,NONE,STALE_READING
2878,1,,2023-02-24T00:00:00.000Z,NONE,STALE_READING
6368,1,,2023-02-24T00:00:00.000Z,NONE,STALE_READING
912,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
1079,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
3825,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
4358,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
4554,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
5056,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
7897,1,,2023-02-25T00:00:00.000Z,NONE,STALE_READING
6147,1,,2023-02-27T00:00:00.000Z,NONE,STALE_READING
1181,1,,2023-02-28T00:00:00.000Z,NONE,STALE_READING
3221,1,,2023-02-28T00:00:00.000Z,NONE,STALE_READING
4181,1,,2023-03-01T00:00:00.000Z,NONE,STALE_READING
5016,1,,2023-03-01T00:00:00.000Z,NONE,STALE_READING
3278,1,,2023-03-09T00:00:00.000Z,NONE,STALE_READING
1609,1,,2023-03-25T00:00:00.000Z,NONE,STALE_READING
8242,1,,2023-03-25T00:00:00.000Z,NONE,STALE_READING
2585,1,,2023-03-27T00:00:00.000Z,NONE,STALE_READING
7363,1,,2023-03-27T00:00:00.000Z,NONE,STALE_READING
1110,1,,2023-03-28T00:00:00.000Z,NONE,STALE_READING
2859,1,,2023-03-28T00:00:00.000Z,NONE,STALE_READING
2741,1,,2023-04-01T00:00:00.000Z,NONE,STALE_READING
2853,1,,2023-04-24T00:00:00.000Z,NONE,STALE_READING
6899,1,,2023-04-24T00:00:00.000Z,NONE,STALE_READING
1220,1,,2023-04-25T00:00:00.000Z,NONE,STALE_READING
1700,1,,2023-04-25T00:00:00.000Z,NONE,STALE_READING
4573,1,,2023-04-25T00:00:00.000Z,NONE,STALE_READING
4791,1,,2023-04-25T00:00:00.000Z,NONE,STALE_READING
4879,1,,2023-04-25T00:00:00.000Z,NONE,STALE_READING
4766,1,,2023-04-27T00:00:00.000Z,NONE,STALE_READING
270,1,,2023-04-28T00:00:00.000Z,NONE,STALE_READING
1233,1,,2023-04-28T00:00:00.000Z,NONE,STALE_READING
2218,1,,2023-05-24T00:00:00.000Z,NONE,STALE_READING
4853,1,,2023-05-25T00:00:00.000Z,NONE,STALE_READING
5042,1,,2023-05-25T00:00:00.000Z,NONE,STALE_READING
3228,1,,2023-05-26T00:00:00.000Z,NONE,STALE_READING
1325,1,,2023-05-27T00:00:00.000Z,NONE,STALE_READING
1464,1,,2023-05-27T00:00:00.000Z,NONE,STALE_READING
6065,1,,2023-05-27T00:00:00.000Z,NONE,STALE_READING
6122,1,,2023-05-27T00:00:00.000Z,NONE,STALE_READING
3248,1,,2023-05-30T00:00:00.000Z,NONE,STALE_READING
8189,1,,2023-06-17T00:00:00.000Z,NONE,STALE_READING
4430,1,,2023-06-24T00:00:00.000Z,NONE,STALE_READING
2613,1,,2023-06-25T00:00:00.000Z,NONE,STALE_READING
6682,1,,2023-06-26T00:00:00.000Z,NONE,STALE_READING
3966,1,,2023-06-27T00:00:00.000Z,NONE,STALE_READING
8361,1,,2023-07-22T00:00:00.000Z,NONE,STALE_READING
2488,1,,2023-07-24T00:00:00.000Z,NONE,STALE_READING
7595,1,,2023-07-24T00:00:00.000Z,NONE,STALE_READING
3476,1,,2023-07-29T00:00:00.000Z,NONE,STALE_READING
1443,1,,2023-07-30T00:00:00.000Z,NONE,STALE_READING
1209,1,,2023-08-25T00:00:00.000Z,NONE,STALE_READING
1563,1,,2023-08-27T00:00:00.000Z,NONE,STALE_READING
1736,1,,2023-08-27T00:00:00.000Z,NONE,STALE_READING
3066,1,,2023-08-27T00:00:00.000Z,NONE,STALE_READING
4368,1,,2023-08-28T00:00:00.000Z,NONE,STALE_READING
5926,1,,2023-08-28T00:00:00.000Z,NONE,STALE_READING
7524,1,,2023-08-28T00:00:00.000Z,NONE,STALE_READING
1918,1,,2023-09-11T00:00:00.000Z,NONE,STALE_READING
6935,1,,2023-09-25T00:00:00.000Z,NONE,STALE_READING
4601,1,,2023-09-27T00:00:00.000Z,NONE,STALE_READING
6610,1,,2023-09-27T00:00:00.000Z,NONE,STALE_READING
